Day;Day;2015;2016;2017;2018;2019
162;162;943488;721224;340200;857304;748440
163;163;1061424;3719520;1097712;798336;993384
164;164;1319976;458136;843696;644112;694008
165;165;512568;725760;1102248;721224;752976
166;166;902664;752976;1079568;694008;1823472
167;167;1501416;684936;816480;757512;476280
168;168;1156680;730296;852768;526176;1093176
169;169;1560384;603288;381024;834624;866376
170;170;1383480;4989600;1306368;843696;1002456
171;171;1664712;576072;816480;811944;1011528
172;172;825552;1392552;1025136;1016064;988848
173;173;1592136;1496880;612360;1011528;1016064
174;174;1596672;1369872;675864;1220184;326592
175;175;1551312;1261008;508032;444528;825552
176;176;1782648;1147608;385560;1002456;925344
177;177;1347192;4091472;698544;1075032;843696
178;178;2077488;743904;725760;1120392;739368
179;179;703080;1596672;625968;1097712;1002456
180;180;1505952;1573992;816480;1147608;1369872
181;181;1428840;1605744;553392;1442448;589680
182;182;1528632;1306368;1891512;453600;1002456
183;183;1347192;1369872;371952;1047816;898128
184;184;1070496;1229256;512568;821016;834624
185;185;1297296;698544;408240;780192;657720
186;186;517104;1029672;603288;1106784;834624
187;187;1043280;1056888;621432;893592;771120
188;188;1220184;907200;621432;1682856;435456
189;189;1061424;911736;2127384;675864;712152
190;190;1038744;875448;757512;1206576;739368
191;191;884520;1451520;1052352;1279152;739368
192;192;1220184;421848;1297296;1283688;666792
193;193;557928;938952;1410696;1115856;621432
194;194;748440;1006992;993384;1002456;952560
195;195;861840;929880;1016064;943488;557928
196;196;721224;848232;1251936;630504;730296
197;197;866376;1043280;784728;1315440;911736
198;198;780192;970704;1188432;938952;952560
199;199;1011528;798336;1052352;1170288;1006992
200;200;494424;975240;1129464;1025136;884520
201;201;689472;1006992;934416;1006992;911736
202;202;698544;1052352;866376;1124928;576072
203;203;1238328;993384;902664;489888;952560
204;204;893592;938952;798336;857304;907200
205;205;684936;898128;1138536;893592;979776
206;206;1034208;521640;1192968;775656;866376
207;207;258552;843696;984312;816480;866376
208;208;603288;975240;957096;866376;875448
209;209;689472;1147608;852768;598752;902664
210;210;775656;879984;966168;317520;748440
211;211;662256;689472;612360;716688;943488
212;212;666792;721224;821016;712152;830088
213;213;879984;621432;689472;553392;839160
214;214;394632;816480;639576;639576;821016
215;215;594216;870912;644112;598752;811944
216;216;793800;748440;675864;802872;535248
217;217;762048;775656;526176;435456;635040
218;218;635040;712152;408240;807408;879984
219;219;521640;816480;648648;639576;662256
220;220;879984;439992;816480;757512;743904
221;221;358344;775656;716688;716688;848232
222;222;603288;603288;594216;539784;648648
223;223;535248;671328;594216;734832;412776
224;224;458136;580608;539784;376488;494424
225;225;598752;485352;530712;567000;725760
226;226;557928;408240;399168;557928;671328
227;227;567000;240408;639576;671328;694008
228;228;340200;358344;612360;644112;585144
229;229;430920;557928;562464;517104;798336
230;230;371952;444528;548856;580608;290304
231;231;512568;308448;449064;317520;648648
232;232;458136;439992;381024;694008;585144
233;233;403704;480816;444528;571536;517104
234;234;948024;235872;544320;512568;616896
235;235;226800;394632;567000;408240;521640
236;236;249480;426384;644112;508032;784728
237;237;367416;449064;594216;684936;394632
238;238;331128;258552;657720;258552;625968
239;239;349272;403704;562464;521640;544320
240;240;322056;526176;548856;517104;548856
241;241;957096;181440;512568;517104;381024
242;242;185976;299376;508032;471744;526176
243;243;408240;439992;453600;340200;1183896
244;244;322056;281232;426384;798336;267624
245;245;353808;263088;449064;204120;353808
246;246;335664;240408;285768;349272;417312
247;247;276696;412776;462672;517104;331128
248;248;657720;117936;390096;430920;371952
249;249;90720;254016;390096;408240;358344
250;250;294840;222264;344736;340200;526176
251;251;226800;213192;458136;603288;249480
252;252;167832;190512;630504;213192;263088
253;253;244944;149688;176904;222264;285768
254;254;235872;317520;308448;249480;267624
255;255;748440;13608;281232;222264;312984
256;256;54432;308448;303912;263088;290304
257;257;176904;167832;371952;226800;2109240
258;258;204120;104328;290304;925344;99792
259;259;226800;136080;825552;72576;199584
260;260;149688;136080;131544;99792;204120
261;261;176904;412776;276696;131544;267624
262;262;326592;22680;281232;99792;263088
263;263;45360;131544;281232;154224;176904
264;264;131544;90720;281232;104328;1778112
265;265;154224;81648;312984;748440;86184
266;266;145152;81648;780192;31752;108864
267;267;127008;45360;140616;90720;81648
268;268;145152;462672;158760;22680;104328
269;269;376488;49896;104328;13608;90720
270;270;13608;45360;104328;49896;149688
271;271;154224;31752;231336;77112;2825928
272;272;181440;13608;122472;2549232;63504
273;273;117936;81648;1456056;58968;81648
274;274;176904;54432;163296;36288;104328
275;275;90720;1492344;136080;13608;45360
276;276;535248;108864;149688;63504;104328
277;277;81648;158760;217728;40824;95256
278;278;63504;63504;140616;86184;2739744
279;279;36288;176904;172368;2009448;181440
280;280;95256;27216;1986768;58968;104328
281;281;149688;294840;195048;108864;72576
282;282;13608;657720;145152;22680;22680
283;283;462672;185976;394632;45360;81648
284;284;90720;208656;95256;27216;99792
285;285;108864;108864;108864;190512;1197504
286;286;36288;136080;140616;1279152;104328
287;287;172368;195048;2381400;122472;49896
288;288;208656;167832;58968;154224;63504
289;289;176904;1415232;81648;99792;90720
290;290;417312;217728;145152;185976;45360
291;291;154224;390096;308448;122472;86184
292;292;140616;185976;263088;331128;979776
293;293;68040;226800;149688;1796256;58968
294;294;104328;254016;2140992;167832;217728
295;295;185976;335664;181440;195048;
296;296;77112;1047816;127008;176904;
297;297;580608;371952;122472;149688;
298;298;117936;426384;281232;371952;
299;299;439992;244944;254016;131544;
300;300;254016;290304;213192;2739744;
301;301;108864;494424;2571912;127008;
302;302;244944;172368;217728;208656;
303;303;272160;1102248;195048;181440;
304;304;848232;163296;176904;335664;
305;305;167832;335664;317520;231336;
306;306;136080;131544;199584;254016;
307;307;136080;176904;331128;3383856;
308;308;199584;258552;2036664;571536;
309;309;208656;267624;217728;167832;
310;310;231336;1224720;222264;154224;
311;311;793800;199584;154224;167832;
312;312;199584;322056;272160;249480;
313;313;176904;204120;199584;226800;
314;314;122472;793800;317520;2268000;
315;315;254016;208656;2236248;49896;
316;316;176904;163296;217728;208656;
317;317;263088;993384;199584;86184;
318;318;612360;312984;81648;72576;
319;319;281232;308448;163296;190512;
320;320;263088;281232;190512;117936;
321;321;158760;90720;172368;1188432;
322;322;217728;204120;2676240;208656;
323;323;167832;213192;127008;154224;
324;324;294840;1465128;172368;136080;
325;325;5139288;226800;40824;81648;
326;326;394632;131544;154224;108864;
327;327;45360;145152;117936;172368;
328;328;376488;45360;140616;1419768;
329;329;199584;136080;1360800;77112;
330;330;226800;172368;254016;90720;
331;331;240408;920808;204120;113400;
332;332;698544;335664;86184;140616;
333;333;344736;172368;145152;167832;
334;334;40824;77112;140616;145152;
335;335;217728;136080;258552;1120392;
336;336;18144;208656;1841616;131544;
337;337;371952;208656;176904;108864;
338;338;72576;2186352;272160;77112;
339;339;680400;653184;145152;104328;
340;340;417312;213192;263088;190512;
341;341;376488;95256;344736;172368;
342;342;585144;113400;149688;1882440;
343;343;272160;154224;1773576;122472;
344;344;349272;113400;68040;163296;
345;345;276696;3070872;158760;117936;
346;346;1106784;1061424;136080;136080;
347;347;322056;145152;104328;86184;
348;348;635040;68040;113400;113400;
349;349;535248;598752;167832;2304288;
350;350;122472;95256;2204496;77112;
351;351;344736;81648;208656;117936;
352;352;136080;3869208;208656;163296;
353;353;476280;1406160;176904;163296;
354;354;462672;40824;167832;122472;
355;355;612360;63504;108864;90720;
356;356;639576;22680;204120;2676240;
357;357;68040;99792;2140992;68040;
358;358;376488;335664;122472;136080;
359;359;36288;5792472;31752;;
360;360;4499712;13608;122472;108864;
361;361;489888;95256;117936;95256;
362;362;952560;226800;154224;81648;
363;363;122472;68040;131544;3057264;
364;364;99792;231336;2508408;36288;
